{'max_epoch': 15, 'last_iter': 0, 'finetune_lr': 0.0001, 'scratch_lr': 0.001, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416, 'multi-scale': None, 'fp16': False, 'warm_up_epochs': 3, 'seed': 2020}

epochs:1, iter: 39, hinge1_f: 1.9883995, hinge2_f: 1.8193955, hinge3_f: 1.5355395, hinge1: 1.9295805, hinge2: 2.0659855, hinge3: 1.9538315, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 40, hinge1_f: 1.9867275, hinge2_f: 1.8132635, hinge3_f: 1.5329285, hinge1: 1.9268805, hinge2: 2.0631455, hinge3: 1.9478485, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 41, hinge1_f: 1.9831485, hinge2_f: 1.8213565, hinge3_f: 1.5379195, hinge1: 1.9293855, hinge2: 2.0620065, hinge3: 1.9486995, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 42, hinge1_f: 1.9816205, hinge2_f: 1.8104635, hinge3_f: 1.5360845, hinge1: 1.9310395, hinge2: 2.0592975, hinge3: 1.9445815, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 43, hinge1_f: 1.9901365, hinge2_f: 1.8174915, hinge3_f: 1.5403235, hinge1: 1.9351375, hinge2: 2.0618985, hinge3: 1.9467295, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 44, hinge1_f: 1.9842025, hinge2_f: 1.8270825, hinge3_f: 1.5481235, hinge1: 1.9408305, hinge2: 2.0564625, hinge3: 1.9413525, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 45, hinge1_f: 1.9864715, hinge2_f: 1.8349175, hinge3_f: 1.5502275, hinge1: 1.9411715, hinge2: 2.0661615, hinge3: 1.9546805, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 46, hinge1_f: 1.9873555, hinge2_f: 1.8245555, hinge3_f: 1.5467125, hinge1: 1.9357225, hinge2: 2.0595735, hinge3: 1.9477795, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 47, hinge1_f: 1.9913055, hinge2_f: 1.8249025, hinge3_f: 1.5473745, hinge1: 1.9370155, hinge2: 2.0601215, hinge3: 1.9474455, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 48, hinge1_f: 1.9853145, hinge2_f: 1.8275785, hinge3_f: 1.5517435, hinge1: 1.9427505, hinge2: 2.0600245, hinge3: 1.9428115, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 49, hinge1_f: 1.9844155, hinge2_f: 1.8294935, hinge3_f: 1.5514365, hinge1: 1.9465825, hinge2: 2.0590995, hinge3: 1.9467585, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 50, hinge1_f: 1.9887715, hinge2_f: 1.8245675, hinge3_f: 1.5484635, hinge1: 1.9402995, hinge2: 2.0600625, hinge3: 1.9440245, cla: 0.0000005, lr: 0.0000008
